Product_Name, Price, Shipping
ASUS USB-BT400 USB 2.0 Bluetooth 4.0 Adapter,$14.99,Free Shipping
ASUS USB-BT400 USB 2.0 Bluetooth 4.0 Adapter,$14.99,Free Shipping
StarTech USBBT1EDR4 USB 2.0 Mini Bluetooth 4.0 Adapter - Class 1 EDR Wireless Dongle (Black),$22.24,Free Shipping
StarTech USBBT1EDR2 Mini USB Bluetooth 2.1 Adapter - Class 1 EDR Wireless Network Adapter,$19.99,Free Shipping
StarTech USBBT2EDR2 Mini USB Bluetooth 2.1 Adapter - Class 2 EDR Wireless Network Adapter,$12.63,Free Shipping
IOGEAR GBU521 USB Bluetooth 4.0 Micro Adapter,$11.99,Free Shipping
Wavlink Nano Wireless Bluetooth CSR 4.0 Dongle Adapter Bluetooth V4.0 USB Adapter CSR Chip Dongle Stick EDR USB 2.0 Dual-Mode Support Bluetooth Voice data/Music/Printer for laptop/Pad/Headser/BTMpblie,$8.99,Free Shipping
Plugable USB to Bluetooth 4.0 LE Micro Adapter USB-BT4LE,$14.95,Free Shipping
SENNHEISER 504579 SMALL DONGLE FOR PRESENCE,$58.15,Free Shipping
Wavlink Bluetooth 4.0 Adapter| Wireless Bluetooth CSR 4.0 Dongle Adapter  Compatible with Windows 10|8.1/8|7|Vista| XP| 32/64 Bit and Classic Bluetooth| Stereo Headset Compatible ---Shipped by Newegg,$8.99,Free Shipping
TRENDnet TBW-107UB USB 1.1 Micro Bluetooth USB Adapter,$10.49,Free Shipping
USB Bluetooth V4.0 3.0 Wireless Mini Adapter Dongle for PC Win 7 8,$5.49,Free Shipping
Jabra Link 360 Usb Bt Adapter,$50.82,Free Shipping
HAVIT HV-BT018 Bluetooth 4.1 Transmitter Receiver(aptX)| Pair 2 At Once| Mini Wireless Portable Bluetooth Adapter to 3.5mm Audio Devices and Home Stereo| Such as TV| MP3| CD player| PC| eBook reader,$27.99,Free Shipping
HAVIT HV-BT021 Bluetooth 4.1 Transmitter and Receiver (aptX Low Latency)| Digital Optical TOSLINK and 3.5mm Wireless Audio Adapter for TV| DVD| MP3| Home/ Car Stereo and More,$39.99,Free Shipping
Bluetooth 4.0 USB Adapter| Costech Gold Plated Micro Dongle 33ft/10m Compatible with Windows 10|8.1/8|7| Vista| XP| 32/64 Bit for Desktop| Laptop| computers,$7.50,Free Shipping
ES-388 Bluetooth V2.0 USB Adapter (Blue),$4.49,Free Shipping
Xpowerpro Bluetooth 4.0 USB Dongle Adapter for  Windows 10| 8| 7|  Vista| XP,$6.99,Free Shipping
Wavlink 2 X Bluetooth V4.0 USB Adapter CSR chip Bluetooth adapter Bluetooth 4.0 Adapter Mini Nano Wireless Dongle Stick EDR USB 2.0 Dual-Mode Highspeed ship from US,$13.99,Free Shipping
HAVIT HV-888 Bluetooth 4.0 USB Dongle Adapter| Wireless Receiver| Low Energy| for PC|Stereo Headphones|Cell Phones|Speaker,$8.99,Free Shipping
D-Link DBT-120 USB 2.0 Wireless USB Bluetooth Adapter,$48.99,Free Shipping
Bluetooth Adapter Dongle Transmitter for iPod Mini iPod Classic iPod Nano Touch Video,$17.99,Free Shipping
AZiO BTD-V401 USB USB Micro Bluetooth Adapter (V4.0 EDR + aptX),$15.99,Free Shipping
Music Bluetooth USB Drive DMZmusic MZ-301 USB Bluetooth Music Receiver Driver Audio Adapter for Speaker Phone PC,$16.50,Free Shipping
Bluetooth 4.0 Adapter| Wireless Bluetooth CSR 4.0 Dongle Adapter Compatible with Windows 10|8.1/8|7|Vista| XP| 32/64 Bit and Classic Bluetooth| Stereo Headset Compatible,$8.99,Free Shipping
Bluetooth Transmitter Sender and Splitter 3.5mm AUX BT Stereo Audio Music 1 to 2 Support Connect Two Devices For Samsung Galaxy S6 S5 S4 S3 iPhone 6 5s 5c 5 4,$23.95,Free Shipping
IOGEAR GBC232A RS-232 DCE/DTE Bluetooth Serial Adapter,$55.99,$6.05 Shipping
SOWTECH Mini Bluetooth 4.1 Audio Receiver for Home Audio Music Streaming Sound System,$19.54,Free Shipping
Plantronics BT300-M Bluetooth USB Adapter (85117-01),$49.99,Free Shipping
Avantree LOW LATENCY USB AUDIO Transmitter Bluetooth Adapter for PC| Apple Mac. Driver free. Only for Headphone| Speaker (NOT FOR DATA TRANSFER),$29.99,Free Shipping
3.5mm Bluetooth Music Audio Stereo Receiver Adapter Mic for PC Car Home Speakers,$8.98,Free Shipping
3.5" 144MB Upgrade Floppy Drive to USB Flash Disk Drive Emulator + CD Screws,$25.44,Free Shipping
Topwin Smallest USB 2.0 Mini Bluetooth V2.0 EDR Dongle Adapter,$2.99,Free Shipping
Bluetooth A2DP Digital Stereo Audio Music Transmitter Sender w/ 3.5mm Optical Coaxial Intput For PC Apple TV STB Set Top Box Blu-ray DVD Smartphones Computers,$59.99,Free Shipping
Asus USB-BT400 USB Adapter with Bluetooth (USB-BT400),$24.85,Free Shipping
Manhattan Manhattan Bluetooth Dongle| USB| Mini Class2+edr,$18.00,Free Shipping
3.5mm Audio Bluetooth Transmitter A2DP Stereo Dongle Adapter for Mp3 TV iPod PSP,$19.45,Free Shipping
