Product_Name, Price, Shipping
ASUS C201PA-DS02 Chromebook Rockchip RK3288C (1.80 GHz) 4 GB OnBoard Memory 16 GB eMMC 11.6" Chrome OS,$199.99,$4.99 Shipping
ASUS C201PA-DS02-LG Chromebook Quad Core Processor 1.80 GHz 4 GB Memory 16 GB eMMC 11.6" Chrome OS,$199.00,$9.99 Shipping
SAMSUNG Chromebook Pro Intel Core M3 6Y30 (0.90 GHz) 4 GB Memory 32 GB eMMC 12.3" Touchscreen Chrome OS,$549.99,Free Shipping
ASUS C300SA-DS02 Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 16 GB eMMC 13.3"  Chrome OS,$229.99,$6.14 Shipping
ASUS C100 C100PA-DB02 Chromebook Rockchip RK3288-C (1.80 GHz) 4 GB Memory 16 GB eMMC 10.1" Touchscreen Chrome OS,$259.00,$2.99 Shipping
Acer C910-3916 Chromebook Intel Core i3 5th Gen 5005U (2.0 GHz) 4 GB DDR3L Memory 32 GB SSD 15.6" Chrome OS 64-Bit,$419.99,$2.99 Shipping
HP 14 G4 (T4M32UT#ABA) Chromebook Intel Celeron N2840 (2.16 GHz) 4 GB Memory 16 GB eMMC SSD 14.0" Chrome OS,$224.99,$4.99 Shipping
ASUS C302 Chromebook Flip C302CA-DHM4 12.5-inch FHD Touchscreen Convertible Chromebook Intel Core m3| 4 GB RAM| 64 GB Flash Storage| All-Metal Body| USB Type C| Corning Gorilla Glass| Chrome OS,$499.00,Free Shipping
Lenovo - 80YS0003US - Lenovo N23 80YS0003US 11.6 LCD Chromebook - Intel Celeron N3060 Dual-core (2 Core) 1.60 GHz - 4 GB LPDDR4 - 16 GB Flash Memory Capacity - Chrome OS - 1366 x 768 - Black - Intel,$199.99,$4.99 Shipping
HP 14 G4 (T4M33UT#ABA) Chromebook Intel Celeron N2840 (2.16 GHz) 4 GB Memory 32 GB eMMC SSD 14.0" Chrome OS,$249.99,Free Shipping
HP 11 G5 (X9U01UT#ABA) Chromebook Intel Celeron N3060 (1.60 GHz) 2 GB Memory 16 GB eMMC 11.6" Chrome OS,$164.99,$6.99 Shipping
ASUS Chromebook Flip C213SA-YS02 Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB Memory 32 GB eMMC 11.6" Touchscreen Chrome OS,$349.00,$22.08 Shipping
Acer C910-C453 Chromebook Intel Celeron 3205U (1.50 GHz) 4 GB Memory 16 GB SSD 15.6" Chrome OS,$249.99,$4.99 Shipping
ASUS C300 Chromebook C300SA Compact 13.3 Inch (Intel Celeron| 4 GB| 16 GB eMMC| Black),$229.00,$2.99 Shipping
Google Chromebook Pixel 64GB WiFi + 4G LTE Laptop 12.85" WQXGA Touch Screen and Core i5 1.8GHz Processor,$419.99,Free Shipping
SAMSUNG Chromebook Plus XE513C24-K01US OP1 Hexa-core (Dual A72| Quad A53) 4 GB Memory 32 GB eMMC 12.3" Touchscreen Chrome OS,$449.00,$2.99 Shipping
ASUS C300 C300SA-DH02-RD Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB LPDDR3 Memory 16 GB eMMC 13.3" Chrome OS,$229.00,$2.99 Shipping
SAMSUNG Chromebook 3 XE500C13-K01US Chromebook Intel Celeron N3050 (1.60 GHz) 2 GB Memory 16 GB eMMC SSD 11.6" Chrome OS,$154.89,Free Shipping
Acer CB3-431-C5FM Chromebook Intel Celeron N3160 (1.60 GHz) 4 GB Memory 32 GB SSD 14.0" IPS Chrome OS,$326.33,Free Shipping
Acer C910-C37P Laptop Intel Celeron 3205U (1.50 GHz) 4 GB Memory 32 GB SSD 15.6" Chrome OS,$283.22,Free Shipping
SAMSUNG XE303C12-A01US Chromebook Samsung Exynos 1.70 GHz 2 GB Memory 16 GB SSD 11.6" Google Chrome OS,$359.95,Free Shipping
ThinkPad Yoga 11e (3rd Gen) 20GE0002US Chromebook Intel Celeron N3150 (1.60 GHz) 4 GB Memory 16 GB eMMC 11.6" Touchscreen Chrome OS,$275.99,Free Shipping
Lenovo ThinkPad 13 20GL0000US Chromebook Intel Celeron 3855U (1.60 GHz) 4 GB Memory 16 GB eMMC 13.3" Chrome OS,$269.99,Free Shipping
DELL 3380 (6TXJ4) Chromebook Intel Celeron 3855U (1.60 GHz) 4 GB Memory 16 GB SSD 13.3" Chrome OS,$289.99,$4.99 Shipping
HP 11 G4 EE (V2W29UT#ABA) Chromebook Intel Celeron N2840 (2.16 GHz) 2 GB Memory 16 GB eMMC 11.6" Chrome OS,$165.87,$4.99 Shipping
Chromebit B013c Quad Core - CHROMEBIT-B013C,$111.05,Free Shipping
Google Chromebook Pixel (WIFI) Touch Screen 12.85" 2560x1700 3:2 LCD i5-3427U 4GB DDR3 32GB SSD 3.4lbs Ultraportable,$399.95,Free Shipping
Lenovo 80VJ0000US Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 16 GB eMMC 14.0" Touchscreen Chrome OS,$253.41,Free Shipping
HP 11 G4 (P0B79UT#ABA) Chromebook Intel Celeron N2840 (2.16 GHz) 2 GB Memory 16 GB eMMC SSD 11.6" Chrome OS,$194.55,Free Shipping
Azpen A1160 11.6" Android Remix Laptop Quad Core HD Screen HDMI Bluetooth HD Audio 64GB,$149.95,Free Shipping
Acer C910-54M1 Chromebook Intel Core i5 5th Gen 5200U (2.20 GHz) 4 GB Memory 32 GB SSD 15.6" Chrome OS 64-Bit,$496.99,$4.99 Shipping
ASUS C300SA-DS02-LB Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 16 GB eMMC 13.3" Chrome OS,$239.99,$6.99 Shipping
Acer CB3-131-C3KD 11.6" LED (ComfyView| In-plane Switching (IPS) Technology) Chromebook - Intel Celeron N2840 Dual-core (2 Core) 2.16 GHz,$179.98,Free Shipping
Lenovo N23 Yoga 11.6" IPS Multi-Touch 2-in-1 Chromebook| 4GB LPDDR3| 32GB eMMC Storage| Card Reader| Wifi| Bluetooth| Chrome OS,$259.00,Free Shipping
HP Chromebook 11 G4 - Education Edition - Celeron N2840 / 2.16 GHz - Chrome OS - 4 GB RAM - 16 GB eMMC - 11.6" TN 1366 x 768 ( HD ) - HD Graphics - 802.11ac - Black (Keyboard),$184.99,Free Shipping
Acer CB3-431-C6ZB Chromebook Intel Celeron N3160 (1.60 GHz) 4 GB LPDDR3 Memory 32 GB Flash 14.0" Chrome OS,$316.55,$4.99 Shipping
