Product_Name, Price, Shipping
Intel Core i7-7700K 4.2 GHz LGA 1151 BX80677I77700K Desktop Processor,$339.99,Free Shipping
AMD RYZEN 7 1700X 8-Core 3.4 GHz (3.8 GHz Turbo) Socket AM4 YD170XBCAEWOF Desktop Processor,$359.99,Free Shipping
Intel Core i5-7600K 3.8 GHz LGA 1151 BX80677I57600K Desktop Processor,$239.99,Free Shipping
AMD RYZEN 5 1600X 6-Core 3.6 GHz (4.0 GHz Turbo) Socket AM4 YD160XBCAEWOF Desktop Processor,$229.99,Free Shipping
Intel Core i7-7740X 4.3 GHz LGA 2066 BX80677I77740X Desktop Processor,$349.99,Free Shipping
AMD RYZEN Threadripper 1950X 16-Core / 32 Threads 3.4 GHz Socket sTR4 YD195XA8AEWOF Desktop Processor,$1029.99,$0.99 Shipping
Intel Core i5-7640X 4.0 GHz LGA 2066 BX80677I57640X Desktop Processor,$239.99,Free Shipping
AMD FX-6300 3.5 GHz Socket AM3+ FD6300WMHKBOX Desktop Processor,$89.99,$0.99 Shipping
Intel Core i7-6800K 3.4 GHz LGA 2011-v3 BX80671I76800K Desktop Processor,$329.99,Free Shipping
AMD RYZEN 7 1700 8-Core 3.0 GHz (3.7 GHz Turbo) Socket AM4 YD1700BBAEBOX Desktop Processor,$299.99,Free Shipping
Intel Core i5-7500 3.4 GHz LGA 1151 BX80677I57500 Desktop Processor,$204.99,Free Shipping
AMD CPU FX-8350 Black Edition 4.0 GHz (4.2 GHz Turbo) Socket AM3+ FD8350FRHKHBX Desktop Processor with AMD Wraith Cooler,$129.99,Free Shipping
