Product_Name, Price, Shipping
XFX Radeon RX 580 DirectX 12 RX-580P8-DFD6 8GB 256-Bit GDDR5 PCI Express 3.0 ...,$389.98,
ASUS ROG Strix Radeon RX 580 O8G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready ...,$444.98,
GIGABYTE GeForce GTX 1080 DirectX 12 GV-N1080TTOC-8GD Turbo OC Video Card,$509.99,$4.99 Shipping
EVGA GeForce GTX 1080 Ti FTW3 GAMING| 11G-P4-6696-KR| 11GB GDDR5X| iCX Technology - 9 Thermal Sensors & RGB LED G/P/M,$799.99,$4.99 Shipping
ZOTAC GeForce GTX 1060 AMP!| ZT-P10600B-10M| 6GB GDDR5 Super Compact Dual-Fan IceStorm Cooling FREEZE Fan Stop,$279.99,$4.99 Shipping
ASUS GeForce GTX 1060 TURBO-GTX1060-6G Video Card,$279.99,$4.99 Shipping
ZOTAC GeForce GTX 1060 Mini| ZT-P10600A-10L| 6GB GDDR5 Super Compact,$284.99,$4.99 Shipping
EVGA GeForce GTX 1070 SC2 GAMING iCX| 08G-P4-6573-KR| 8GB GDDR5| 9 Thermal Sensors| Asynchronous Fan Control| Thermal Display LED System| Optimized Airflow Fin Design| Die Cast/Form Fitted Baseplate,$499.99,$4.99 Shipping
XFX RS XXX Edition Radeon RX 570 DirectX 12 RX-570P427D6 4GB OC+ 1284 MHz XFX Custom Backplate 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,$309.99,$4.99 Shipping
MSI GeForce GTX 1080 Ti DirectX 12 GTX 1080 Ti DUKE 11G OC Video Card,$739.99,$4.99 Shipping
MSI GeForce GTX 1070 DirectX 12 GTX 1070 GAMING X 8G Video Card,$499.99,$4.99 Shipping
GIGABYTE GeForce GTX 1080 G1 Gaming GV-N1080G1 GAMING-8GD Video Card,$519.99,Free Shipping
