Product_Name, Price, Shipping
WD 1TB Elements Portable External Hard Drive USB 3.0 Model WDBUZG0010BBK-WESN Black,$54.99,Free Shipping
WD Blue 3TB Desktop Hard Disk Drive - 5400 RPM SATA 6Gb/s 64MB Cache 3.5 Inch - WD30EZRZ,$91.99,Free Shipping
Seagate IronWolf 8TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive ST8000VN0022,$249.99,Free Shipping
WD Black 500GB Performance Desktop Hard Disk Drive - 7200 RPM SATA 6Gb/s 64MB Cache 3.5 Inch - WD5003AZEX,$60.99,Free Shipping
WD 2TB My Passport Portable Hard Drive USB 3.0 Model WDBYFT0020BBK-WESN Black,$79.00,Free Shipping
HGST DeskStar NAS 3.5" 4TB 7200 RPM 128MB Cache SATA 6.0Gb/s High-Performance Hard Drive for Desktop NAS Systems Retail Packaging 0S04005,$139.99,Free Shipping
Seagate BarraCuda ST1000DM010 1TB 64MB Cache SATA 6.0Gb/s 3.5" Hard Drive Bare Drive,$49.99,Free Shipping
TOSHIBA X300 5TB Desktop Hard Drive 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive Retail Packaging HDWE150XZSTA,$159.99,Free Shipping
Seagate Expansion 5TB USB 3.0 3.5" Desktop External Hard Drive Black,$119.99,Free Shipping
Seagate 500GB BarraCuda 5400 RPM 128MB Cache SATA 6.0Gb/s 2.5" Laptop Internal Hard Drive ST500LM030,$44.99,Free Shipping
Seagate FireCuda Gaming SSHD 1TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5" Internal Hard Drive ST1000DX002,$68.06,Free Shipping
Seagate Backup Plus 5TB USB 3.0 Hard Drives - Portable External Model STDR5000100 Black,$149.99,Free Shipping
