Product_Name, Price, Shipping
ASUS Laptop X556UQ-NH51 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 512 GB SSD NVIDIA GeForce 940MX 15.6" Windows 10 Home 64-Bit,$669.99,Free Shipping
SAMSUNG Chromebook Plus XE513C24-K01US 12.3" Chrome OS,$449.00,$2.99 Shipping
Acer Laptop Aspire A515-51G-5536 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB DDR4 Memory 1 TB HDD NVIDIA GeForce 940MX 15.6" Windows 10 Home 64-Bit,$599.99,$2.99 Shipping
SAMSUNG Chromebook Pro 12.3" Chrome OS,$549.99,Free Shipping
HP Laptop Stream 11 Pro G3 (X9V65UT#ABA) Intel Celeron N3060 (1.60 GHz) 2 GB Memory 64 GB eMMC Intel HD Graphics 400 11.6" Windows 10 Pro 64-Bit,$194.99,$4.99 Shipping
Lenovo Laptop ThinkPad E560 (20EV002FUS) Intel Core i5 6th Gen 6200U (2.30 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 520 15.6" Windows 7 Professional 64-Bit (Downgrade From Windows 10 Pro),$529.99,Free Shipping
Razer Laptop Blade Stealth RZ09-01963E32-R3U1 Intel Core i7 7th Gen 7500U (2.70 GHz) 16 GB Memory 512 GB SSD Intel HD Graphics 620 13.3" Touchscreen Windows 10 Home 64-Bit,$1599.99,$7.99 Shipping
Acer Notebooks TravelMate B TMB117-M-C0DK Intel Celeron N3050 (1.60 GHz) 4 GB Memory 32 GB eMMC SSD Intel HD Graphics 11.6" Windows 10 Pro 64-Bit,$199.99,$5.99 Shipping
Lenovo IdeaPad Laptop 320-15IKB 80XL0006US Intel Core i5 7200U (2.50 GHz) 8 GB DDR4 Memory 1 TB HDD 15.6" Windows 10 Home,$509.00,$2.99 Shipping
Acer Laptop Aspire E5-774G-52W1 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB DDR4 Memory 256 GB SSD NVIDIA GeForce 940MX 17.3" Windows 10 Home 64-Bit,$629.99,$2.99 Shipping
TOSHIBA Laptop Tecra A50-01R01S Intel Core i7 7th Gen 7500U (2.70 GHz) 4 GB Memory 1 TB HDD Intel HD Graphics 620 15.6" Windows 10 Pro 64-Bit,$619.99,$8.99 Shipping
HP Laptop 15-AY197 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 1 TB HDD AMD Radeon R7 M440 15.6" Windows 10 Home 64-Bit,$549.99,$12.99 Shipping
