Product_Name, Price, Shipping
Okidata B4600 (62446601) Up to 600 x 2400 DPI USB Monochrome Laser Printer,$236.99,Free Shipping
Brother DCP-L2540DW Duplex 2400 x 600 DPI USB/Wireless/Ethernet Monochrome Laser MFC Printer,$159.99,$2.99 Shipping
Canon PIXMA iP7220 Photo Inkjet Printer,$89.99,Free Shipping
Xerox WorkCentre 3215/NI Monochrome Wireless Multifunction Laser Printer,$129.99,Free Shipping
Fujitsu ScanSnap iX500 (PA03656-B305) Duplex 600 DPI x 600 DPI Wireless / USB Color Document Scanner,$429.99,Free Shipping
HP OfficeJet 3830 (K7V40A#B1H) Duplex 4800 dpi x 1200 dpi wireless/USB color Inkjet All-In-One Printer,$79.99,$2.99 Shipping
Xerox WorkCentre 6027/NI Wireless Multi-function Color Laser Printer,$199.00,Free Shipping
HP Laserjet Pro M252dw (B4A22A#BGJ) Duplex 600 x 600 DPI USB//Wireless/Ethernet Color Laser Printer,$219.99,Free Shipping
XYZprinting da Vinci Jr. 1.0 FFF (Fused Filament Fabrication) PLA Single Nozzle 3D Printer,$179.99,Free Shipping
Brother MFC-L2700DW Duplex 2400 x 600 DPI Wireless / USB Monochrome Laser MFC Printer,$119.99,Free Shipping
XYZprinting Da Vinci 3D Pen PLA 3D Pen,$19.99,Free Shipping
Samsung Xpress M2020W (SL-M2020W/XAA) Duplex 1200 x 1200 DPI Wireless / USB Mono Laser Printer,$64.99,Free Shipping
