Product_Name, Price, Shipping
NETGEAR ProSAFE 8-Port Gigabit Ethernet Switch (GS108) - Lifetime Warranty,$47.99,Free Shipping
NETGEAR ProSAFE 8-Port Gigabit Ethernet Switch (GS108) - Lifetime Warranty,$47.99,Free Shipping
TP-LINK TL-SG1024 10/100/1000Mbps Unmanaged 24-Port Gigabit rackmountable Switch| Metal Case| Power-Saving,$69.99,Free Shipping
TP-LINK TL-SF1005D 10/100Mbps 5-Port Unmanaged Desktop Switch| Power-Saving,$9.99,Free Shipping
Ubiquiti Networks 16-Port UniFi Switch| Managed PoE+ Gigabit Switch with SFP| 150W (US-16-150W),$282.99,Free Shipping
Ubiquiti US-8 Unifi Switch,$94.99,Free Shipping
Ubiquiti TS-8-PRO 8-Port TOUGHSwitch PoE PRO Gigabit Switch 150W Power 8 devices,$166.99,Free Shipping
Ubiquiti Networks ES-24-250W Managed PoE+ Gigabit Switches with SFP,$375.99,Free Shipping
NETGEAR Nighthawk S8000 8-port Gaming and Streaming| Advanced Gigabit Ethernet Switch (GS808E-100NAS),$79.99,Free Shipping
TP-LINK TL-SF1008P 10/100Mbps 8-Port PoE Switch| 4 PoE Ports| Metal case,$43.99,Free Shipping
NETGEAR ProSAFE 48-Port Gigabit Smart Managed Switch (GS748T) - Lifetime Warranty,$377.99,Free Shipping
Ubiquiti TS-5-POE 5-Port TOUGHSwitch PoE Gigabit Switch 24V 60W up to 5 devices,$81.99,Free Shipping
Ubiquiti Networks US-24 Managed Gigabit Switches with SFP,$193.99,Free Shipping
Ubiquiti Networks US-16-XG 10G 16-Port Managed Aggregation Switch,$515.54,Free Shipping
Ubiquiti EdgeSwitch Lite 24 Ports Wall-Mountable Fanless Switch with Optional DC Input -  ES-24-LITE,$185.53,Free Shipping
TP-LINK TL-SG108PE 8-Port Gigabit Easy Smart Switch with 4-Port PoE,$65.69,Free Shipping
Ubiquiti Networks ES-48-LITE  Edge Switch 48 Lite Managed Gigabit Switch with SFP+ Ports -US,$359.99,Free Shipping
NETGEAR ProSAFE 8-port Gigabit Ethernet Web Managed Click Switch with 4 PoE+ Ports (GSS108EPP-100NAS),$149.99,Free Shipping
Ubiquiti EdgeSwitch ES-16-150W 16-Port PoE Switch 150W,$274.99,Free Shipping
Ubiquiti EdgeSwitch ES-48-500W Layer 3 Switch,$769.00,Free Shipping
Ubiquiti EdgeSwitch ES-48-750W Layer 3 Switch,$899.99,Free Shipping
NETGEAR 48-port Gigabit Smart Managed Plus Switch with 2 SFP Ports (GS750E),$349.99,Free Shipping
Ubiquiti Networks ES-8-150W Managed PoE+ Gigabit Switches with SFP| 8-Gigabit RJ45 Ports| 2-SFP Ports| 1- Serial Console Port,$187.31,Free Shipping
NETGEAR ProSAFE 8-Port Gigabit Web Managed (Plus) Switch (GS108E) - Lifetime Warranty,$59.99,Free Shipping
NETGEAR ProSAFE 5-Port Gigabit Web Managed (Plus) Switch (GS105E) - Lifetime Warranty,$44.99,Free Shipping
TP-LINK TL-SG1016D 10/100/1000Mbps Unmanaged 16-Port Gigabit Desktop/rackmountable Switch| Metal case| Power-Saving,$78.65,Free Shipping
NETGEAR GS408EPP-100NES 8 Port Gigabit Ethernet PoE,$262.95,Free Shipping
NETGEAR ProSAFE 5-Port Gigabit Ethernet Switch (GS105 v5) - Lifetime Warranty,$34.99,Free Shipping
NETGEAR GS305 SOHO Ethernet Unmanaged 5-Port Gigabit Switch,$18.20,Free Shipping
NETGEAR ProSAFE 5-Port Fast Ethernet Switch (FS105) - Lifetime Warranty,$29.99,Free Shipping
NETGEAR ProSAFE XS708T 8-Port 10-Gigabit Ethernet Smart Managed Switch,$808.99,Free Shipping
StarTech.com 5 Port Industrial Ethernet Switch - DIN Rail Mount - 10/100 Unmanaged Network Switch - IP30-rated - Energy-Efficient Ethernet,$81.99,Free Shipping
StarTech IES61002POE Unmanaged 6 Port Industrial Gigabit Ethernet Switch with 4 PoE+ Ports - DIN Rail / Wall-Mountable,$269.99,Free Shipping
StarTech DS81072 Unmanaged 8-Port Fast Ethernet Switch,$16.66,Free Shipping
StarTech DS51072 Unmanaged 5-Port Fast Ethernet Switch,$13.92,Free Shipping
StarTech IES81000POE Unmanaged Industrial Gigabit Power over Ethernet Switch,$261.99,Free Shipping
StarTech IES51000POE Unmanaged 5 Port Industrial Gigabit PoE Switch with 4 Power over Ethernet ports,$205.99,Free Shipping
